search_key;kik_filename;kik_path;court_filename;court_path;normalized_position;match_status
2007UHZ102;2007.01.15_KIK_2007-UH.Z-102.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-102.pdf;2007.04.13_IDARE_2007_MK-41.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.04.13_IDARE_2007_MK-41.pdf;217;EXACT_FILENAME_KEY_MATCH
2006UYZ3282;2006.12.25_KIK_2006-UY.Z-3282.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UY.Z-3282.pdf;2007.04.13_IDARE_2007_MK-42.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.04.13_IDARE_2007_MK-42.pdf;198;EXACT_FILENAME_KEY_MATCH
2006UHZ3316;2006.12.28_KIK_2006-UH.Z-3316.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.28_KIK_2006-UH.Z-3316.pdf;2007.04.13_IDARE_2007_MK-45.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.04.13_IDARE_2007_MK-45.pdf;228;EXACT_FILENAME_KEY_MATCH
2006UMZ3180;2006.12.18_KIK_2006-UM.Z-3180.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.18_KIK_2006-UM.Z-3180.pdf;2007.05.03_IDARE_2007_MK-49.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.05.03_IDARE_2007_MK-49.pdf;229;EXACT_FILENAME_KEY_MATCH
2006UYZ3290;2006.12.25_KIK_2006-UY.Z-3290.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UY.Z-3290.pdf;2007.05.14_IDARE_2007_MK-52.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.05.14_IDARE_2007_MK-52.pdf;242;EXACT_FILENAME_KEY_MATCH
2007UMZ1;2007.01.08_KIK_2007-UM.Z-1.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UM.Z-1.pdf;2007.05.21_IDARE_2007_MK-54.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.05.21_IDARE_2007_MK-54.pdf;2298;EXACT_FILENAME_KEY_MATCH
2007UMZ132;2007.01.15_KIK_2007-UM.Z-132.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UM.Z-132.pdf;2007.05.21_IDARE_2007_MK-54.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.05.21_IDARE_2007_MK-54.pdf;2298;EXACT_FILENAME_KEY_MATCH
2007UMZ1322;2007.04.12_KIK_2007-UM.Z-1322.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.04.12_KIK_2007-UM.Z-1322.pdf;2007.05.21_IDARE_2007_MK-54.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.05.21_IDARE_2007_MK-54.pdf;2298;EXACT_FILENAME_KEY_MATCH
2007UYZ931;2007.03.12_KIK_2007-UY.Z-931.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.03.12_KIK_2007-UY.Z-931.pdf;2007.05.28_IDARE_2007_MK-57.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.05.28_IDARE_2007_MK-57.pdf;221;EXACT_FILENAME_KEY_MATCH
2007UMZ2;2007.01.08_KIK_2007-UM.Z-2.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UM.Z-2.pdf;2007.06.04_IDARE_2007_MK-60.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.04_IDARE_2007_MK-60.pdf;218;EXACT_FILENAME_KEY_MATCH
2007UMZ215;2007.01.22_KIK_2007-UM.Z-215.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.22_KIK_2007-UM.Z-215.pdf;2007.06.04_IDARE_2007_MK-60.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.04_IDARE_2007_MK-60.pdf;218;EXACT_FILENAME_KEY_MATCH
2006UMZ3235;2006.12.25_KIK_2006-UM.Z-3235.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UM.Z-3235.pdf;2007.06.04_IDARE_2007_MK-61.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.04_IDARE_2007_MK-61.pdf;244;EXACT_FILENAME_KEY_MATCH
2006UHZ3253;2006.12.25_KIK_2006-UH.Z-3253.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UH.Z-3253.pdf;2007.06.11_IDARE_2007_MK-63.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.11_IDARE_2007_MK-63.pdf;222;EXACT_FILENAME_KEY_MATCH
2006UYZ3143;2006.12.11_KIK_2006-UY.Z-3143.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.11_KIK_2006-UY.Z-3143.pdf;2007.06.18_IDARE_2007_MK-64.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.18_IDARE_2007_MK-64.pdf;196;EXACT_FILENAME_KEY_MATCH
2006UYZ3164;2006.12.18_KIK_2006-UY.Z-3164.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.18_KIK_2006-UY.Z-3164.pdf;2007.06.18_IDARE_2007_MK-65.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.18_IDARE_2007_MK-65.pdf;265;EXACT_FILENAME_KEY_MATCH
2007UHZ104;2007.01.15_KIK_2007-UH.Z-104.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-104.pdf;2007.06.25_IDARE_2007_MK-66.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.25_IDARE_2007_MK-66.pdf;258;EXACT_FILENAME_KEY_MATCH
2007UHZ1047;2007.03.19_KIK_2007-UH.Z-1047.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.03.19_KIK_2007-UH.Z-1047.pdf;2007.06.25_IDARE_2007_MK-66.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.25_IDARE_2007_MK-66.pdf;258;EXACT_FILENAME_KEY_MATCH
2007UHZ51;2007.01.08_KIK_2007-UH.Z-51.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UH.Z-51.pdf;2007.06.25_IDARE_2007_MK-69.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.25_IDARE_2007_MK-69.pdf;249;EXACT_FILENAME_KEY_MATCH
2007UHZ514;2007.02.12_KIK_2007-UH.Z-514.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.12_KIK_2007-UH.Z-514.pdf;2007.06.25_IDARE_2007_MK-69.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.25_IDARE_2007_MK-69.pdf;249;EXACT_FILENAME_KEY_MATCH
2007UHZ50;2007.01.08_KIK_2007-UH.Z-50.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UH.Z-50.pdf;2007.06.25_IDARE_2007_MK-70.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.25_IDARE_2007_MK-70.pdf;240;EXACT_FILENAME_KEY_MATCH
2007UHZ508;2007.02.12_KIK_2007-UH.Z-508.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.12_KIK_2007-UH.Z-508.pdf;2007.06.25_IDARE_2007_MK-70.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.06.25_IDARE_2007_MK-70.pdf;240;EXACT_FILENAME_KEY_MATCH
2006UYZ3141;2006.12.11_KIK_2006-UY.Z-3141.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.11_KIK_2006-UY.Z-3141.pdf;2007.07.02_IDARE_2007_MK-72.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.02_IDARE_2007_MK-72.pdf;233;EXACT_FILENAME_KEY_MATCH
2006UHZ3258;2006.12.25_KIK_2006-UH.Z-3258.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2006.12.25_KIK_2006-UH.Z-3258.pdf;2007.07.02_IDARE_2007_MK-73.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.02_IDARE_2007_MK-73.pdf;207;EXACT_FILENAME_KEY_MATCH
2007UHZ47;2007.01.08_KIK_2007-UH.Z-47.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.08_KIK_2007-UH.Z-47.pdf;2007.07.02_IDARE_2007_MK-75.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.02_IDARE_2007_MK-75.pdf;222;EXACT_FILENAME_KEY_MATCH
2007UHZ475;2007.02.12_KIK_2007-UH.Z-475.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.12_KIK_2007-UH.Z-475.pdf;2007.07.02_IDARE_2007_MK-75.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.02_IDARE_2007_MK-75.pdf;222;EXACT_FILENAME_KEY_MATCH
2007UHZ629;2007.02.19_KIK_2007-UH.Z-629.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.19_KIK_2007-UH.Z-629.pdf;2007.07.09_IDARE_2007_MK-77.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.09_IDARE_2007_MK-77.pdf;249;EXACT_FILENAME_KEY_MATCH
2007UHZ80;2007.01.15_KIK_2007-UH.Z-80.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-80.pdf;2007.07.16_IDARE_2007_MK-80.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.16_IDARE_2007_MK-80.pdf;189;EXACT_FILENAME_KEY_MATCH
2007UHZ804;2007.03.05_KIK_2007-UH.Z-804.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.03.05_KIK_2007-UH.Z-804.pdf;2007.07.16_IDARE_2007_MK-80.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.16_IDARE_2007_MK-80.pdf;189;EXACT_FILENAME_KEY_MATCH
2007UHZ120;2007.01.15_KIK_2007-UH.Z-120.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-120.pdf;2007.07.16_IDARE_2007_MK-82.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.16_IDARE_2007_MK-82.pdf;247;EXACT_FILENAME_KEY_MATCH
2007UHZ1204;2007.04.09_KIK_2007-UH.Z-1204.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.04.09_KIK_2007-UH.Z-1204.pdf;2007.07.16_IDARE_2007_MK-82.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.16_IDARE_2007_MK-82.pdf;247;EXACT_FILENAME_KEY_MATCH
2007UHZ104;2007.01.15_KIK_2007-UH.Z-104.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.01.15_KIK_2007-UH.Z-104.pdf;2007.07.20_IDARE_2007_MK-84.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.20_IDARE_2007_MK-84.pdf;253;EXACT_FILENAME_KEY_MATCH
2007UHZ1048;2007.03.19_KIK_2007-UH.Z-1048.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.03.19_KIK_2007-UH.Z-1048.pdf;2007.07.20_IDARE_2007_MK-84.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.20_IDARE_2007_MK-84.pdf;253;EXACT_FILENAME_KEY_MATCH
2007UHZ749;2007.02.26_KIK_2007-UH.Z-749.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\KIK\01_KIK_Uyusmazlik_Kararlari\2007.02.26_KIK_2007-UH.Z-749.pdf;2007.07.20_IDARE_2007_MK-85.pdf;C:\Users\MSI\Desktop\kik_proje\kaynak_veriler\1_IHALE_HUKUKU_IDARI_YARGI\Idare_Mahkemesi\2007.07.20_IDARE_2007_MK-85.pdf;235;EXACT_FILENAME_KEY_MATCH
