relationship_id;kik_id;kik_slug;kik_search_key;kik_decision_label;kik_filename;court_id;court_slug;court_filename;match_type;match_status;confidence;source_module
rel_1805c66ffd93a246e23e;kik_26b59aaa0d79ab8ce160;2006-uh-z-3253-ab8ce160;2006UHZ3253;2006-UH.Z-3253;2006.12.25_KIK_2006-UH.Z-3253.pdf;court_71c47fe00a704638fe74;2007-06-11-idare-2007-mk-63-4638fe74;2007.06.11_IDARE_2007_MK-63.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_bc703144770100fd7fa7;kik_6a1035b35527f585c3d2;2006-uh-z-3257-f585c3d2;2006UHZ3257;2006-UH.Z-3257;2006.12.25_KIK_2006-UH.Z-3257.pdf;court_b7667e7ac2c66b057f4c;2009-08-03-idare-2009-mk-114-6b057f4c;2009.08.03_IDARE_2009_MK-114.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_7a25d556dc7bdec86fce;kik_42e47c3f6c7c1b66dd34;2006-uh-z-3258-1b66dd34;2006UHZ3258;2006-UH.Z-3258;2006.12.25_KIK_2006-UH.Z-3258.pdf;court_3cb5a53e0a8641761010;2007-07-02-idare-2007-mk-73-41761010;2007.07.02_IDARE_2007_MK-73.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_272e3d24355a7f99667c;kik_42e47c3f6c7c1b66dd34;2006-uh-z-3258-1b66dd34;2006UHZ3258;2006-UH.Z-3258;2006.12.25_KIK_2006-UH.Z-3258.pdf;court_fbca1d0707548409d4dd;2008-04-07-idare-2008-mk-43-8409d4dd;2008.04.07_IDARE_2008_MK-43.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_1fe160c8eb5cb87fd06b;kik_42e47c3f6c7c1b66dd34;2006-uh-z-3258-1b66dd34;2006UHZ3258;2006-UH.Z-3258;2006.12.25_KIK_2006-UH.Z-3258.pdf;court_351ab3bc90f9df2532df;2012-01-02-idare-2012-mk-3-df2532df;2012.01.02_IDARE_2012_MK-3.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_3463830c433f77fee615;kik_1662840f98f742645544;2006-uh-z-3316-42645544;2006UHZ3316;2006-UH.Z-3316;2006.12.28_KIK_2006-UH.Z-3316.pdf;court_34352b42a691e9000594;2007-04-13-idare-2007-mk-45-e9000594;2007.04.13_IDARE_2007_MK-45.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_1ec43070fd13520905a8;kik_b2b622618d2ef61e2287;2006-um-z-3139-f61e2287;2006UMZ3139;2006-UM.Z-3139;2006.12.11_KIK_2006-UM.Z-3139.pdf;court_ecf2d8a35f141b68805e;2007-08-20-idare-2007-mk-95-1b68805e;2007.08.20_IDARE_2007_MK-95.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_281e8b38ccdffb7fa2dd;kik_da014eb86c89d3dde619;2006-um-z-3180-d3dde619;2006UMZ3180;2006-UM.Z-3180;2006.12.18_KIK_2006-UM.Z-3180.pdf;court_03026d537ae16423d293;2007-05-03-idare-2007-mk-49-6423d293;2007.05.03_IDARE_2007_MK-49.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_c5920129a6d0f93783c2;kik_da014eb86c89d3dde619;2006-um-z-3180-d3dde619;2006UMZ3180;2006-UM.Z-3180;2006.12.18_KIK_2006-UM.Z-3180.pdf;court_ff6779db939651fc05ad;2008-03-24-idare-2008-mk-32-51fc05ad;2008.03.24_IDARE_2008_MK-32.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_5e79da6defb433c0e08d;kik_da014eb86c89d3dde619;2006-um-z-3180-d3dde619;2006UMZ3180;2006-UM.Z-3180;2006.12.18_KIK_2006-UM.Z-3180.pdf;court_9cb09cd89248f882a9a4;2010-08-31-idare-2010-mk-142-f882a9a4;2010.08.31_IDARE_2010_MK-142.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_9fe6d7d70fadd1e2b34f;kik_98d9b7b98fb0473eb9ce;2006-um-z-3231-473eb9ce;2006UMZ3231;2006-UM.Z-3231;2006.12.25_KIK_2006-UM.Z-3231.pdf;court_55c70e170dd35961667c;2007-07-20-idare-2007-mk-86-5961667c;2007.07.20_IDARE_2007_MK-86.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
rel_ce77cbd13875262f899c;kik_751cc0f31d627d22a7a7;2006-um-z-3235-7d22a7a7;2006UMZ3235;2006-UM.Z-3235;2006.12.25_KIK_2006-UM.Z-3235.pdf;court_a92554cc0bd298e10c27;2007-06-04-idare-2007-mk-61-98e10c27;2007.06.04_IDARE_2007_MK-61.pdf;exact_filename_key;EXACT_FILENAME_KEY_MATCH;100;260_FILENAME_TO_COURT_EXACT_MATCH
